,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,52.43,80,0,3.0,clear sky
1,Atuona,PF,-9.8,-139.0333,77.59,77,12,21.9,few clouds
2,Klaksvik,FO,62.2266,-6.589,54.52,82,93,25.12,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.06,77,100,24.76,overcast clouds
4,Souillac,MU,-20.5167,57.5167,70.18,52,40,18.41,scattered clouds
5,Cidreira,BR,-30.1811,-50.2056,61.83,65,95,10.83,overcast clouds
6,Havelock,US,34.8791,-76.9013,96.98,67,20,13.8,few clouds
7,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
8,Axim,GH,4.8699,-2.2405,75.67,81,100,9.84,overcast clouds
9,Beshpagir,RU,45.0217,42.3808,80.02,35,14,20.22,few clouds
10,Iralaya,HN,15.0,-83.2333,82.17,85,100,14.76,overcast clouds
11,Santander,ES,43.4647,-3.8044,80.71,86,0,5.01,clear sky
12,Rio Grande,BR,-32.035,-52.0986,66.31,73,51,14.32,broken clouds
13,Kalemie,CD,-5.9475,29.1947,72.9,55,40,2.73,scattered clouds
14,Itarema,BR,-2.9248,-39.9167,83.23,63,15,18.41,few clouds
15,Saldanha,ZA,-33.0117,17.9442,56.88,93,100,4.65,overcast clouds
16,Barrow,US,71.2906,-156.7887,44.62,93,100,12.66,light rain
17,Bagdarin,RU,54.4333,113.6,53.94,80,100,1.63,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,36.64,93,99,1.81,overcast clouds
19,Ormara,PK,25.2088,64.6357,84.87,80,100,14.81,overcast clouds
20,Pierre,US,44.3683,-100.351,86.92,51,0,19.57,clear sky
21,Upernavik,GL,72.7868,-56.1549,40.55,84,97,6.69,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,46.02,70,0,2.3,clear sky
23,Port-Gentil,GA,-0.7193,8.7815,75.16,83,75,14.97,broken clouds
24,Umm Lajj,SA,25.0213,37.2685,91.18,55,31,7.02,scattered clouds
25,Xihua,CN,33.7833,114.5167,76.55,94,80,5.66,broken clouds
26,Fort Wellington,GY,6.4,-57.6,85.17,68,98,7.14,overcast clouds
27,Tianpeng,CN,30.9866,103.9393,84.67,82,99,4.38,overcast clouds
28,Butaritari,KI,3.0707,172.7902,81.57,77,94,17.63,light rain
29,Lagunas,PE,-5.2269,-75.6753,81.14,83,85,5.84,overcast clouds
30,Mount Isa,AU,-20.7333,139.5,46.17,57,0,0.0,clear sky
31,Totolapan,MX,18.5167,-96.1833,85.89,65,99,3.69,overcast clouds
32,Jamestown,US,42.097,-79.2353,78.03,48,40,6.91,scattered clouds
33,Waingapu,ID,-9.6567,120.2641,75.33,86,97,3.65,overcast clouds
34,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,66,70,14.18,broken clouds
35,Marawi,PH,7.9986,124.2928,68.81,87,99,1.77,overcast clouds
36,Avarua,CK,-21.2078,-159.775,69.85,83,6,4.61,clear sky
37,Busselton,AU,-33.65,115.3333,50.7,81,20,4.99,few clouds
38,Strezhevoy,RU,60.7333,77.5889,58.86,69,1,10.11,clear sky
39,Talcahuano,CL,-36.7167,-73.1167,53.28,66,40,9.22,scattered clouds
40,Hirara,JP,24.8,125.2833,84.99,70,2,7.78,clear sky
41,High Level,CA,58.5169,-117.136,75.9,39,5,8.01,clear sky
42,Mahibadhoo,MV,3.7833,72.9667,81.39,81,50,7.61,scattered clouds
43,Katsuura,JP,35.1333,140.3,80.69,91,88,13.09,overcast clouds
44,Baykit,RU,61.67,96.37,59.31,82,100,1.81,overcast clouds
45,Castro,BR,-24.7911,-50.0119,45.75,92,96,14.25,overcast clouds
46,Dikson,RU,73.5069,80.5464,41.94,96,100,10.11,overcast clouds
47,Maceio,BR,-9.6658,-35.7353,85.44,54,0,10.36,clear sky
48,Cabo San Lucas,MX,22.8909,-109.9124,94.6,62,20,10.36,few clouds
49,Vaini,TO,-21.2,-175.2,77.16,94,20,10.36,few clouds
50,Buraydah,SA,26.326,43.975,104.45,14,43,15.32,scattered clouds
51,Tasiilaq,GL,65.6145,-37.6368,39.36,81,34,6.8,scattered clouds
52,Ponta Do Sol,PT,32.6667,-17.1,75.13,74,31,6.78,scattered clouds
53,Greytown,ZA,-29.0642,30.5928,56.01,66,24,2.91,few clouds
54,Walvis Bay,NA,-22.9575,14.5053,54.55,87,18,3.44,few clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,75,5.75,light rain
56,Pisco,PE,-13.7,-76.2167,63.01,77,75,11.5,broken clouds
57,Kaitangata,NZ,-46.2817,169.8464,37.4,85,97,1.41,overcast clouds
58,Tuktoyaktuk,CA,69.4541,-133.0374,44.46,88,100,26.31,light rain
59,Geraldton,AU,-28.7667,114.6,43.21,93,10,8.05,clear sky
60,Thompson,CA,55.7435,-97.8558,70.3,34,1,5.93,clear sky
61,Torbay,CA,47.6666,-52.7314,59.58,85,100,15.01,overcast clouds
62,Khatanga,RU,71.9667,102.5,45.3,68,97,13.94,overcast clouds
63,Kapaa,US,22.0752,-159.319,78.48,86,75,14.97,broken clouds
64,Hammerfest,NO,70.6634,23.6821,54.05,100,75,6.91,light rain
65,Itoman,JP,26.1247,127.6694,84.22,82,40,4.61,haze
66,San Quintin,MX,30.4833,-115.95,79.38,62,37,9.95,scattered clouds
67,Amuntai,ID,-2.4177,115.2494,73.6,96,100,2.66,overcast clouds
68,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,11.5,clear sky
69,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,92,8.01,overcast clouds
70,Georgetown,MY,5.4112,100.3354,81.95,84,20,0.0,few clouds
71,Hermanus,ZA,-34.4187,19.2345,55.8,87,100,8.66,overcast clouds
72,Zhigansk,RU,66.7697,123.3711,56.93,79,66,7.78,broken clouds
73,New Norfolk,AU,-42.7826,147.0587,40.91,74,84,2.44,broken clouds
74,Hobart,AU,-42.8794,147.3294,42.66,82,93,8.05,overcast clouds
75,Hithadhoo,MV,-0.6,73.0833,82.36,73,64,8.01,broken clouds
76,Bereznik,RU,62.8551,42.7072,59.27,71,63,3.85,broken clouds
77,Half Moon Bay,US,37.4636,-122.4286,78.91,68,0,11.5,clear sky
78,Sumenep,ID,-7.0167,113.8667,79.75,80,65,9.44,broken clouds
79,Victoria,HK,22.2855,114.1577,83.32,88,100,13.0,overcast clouds
80,Kosum Phisai,TH,16.2486,103.0674,81.84,87,97,12.01,overcast clouds
81,Deputatskiy,RU,69.3,139.9,48.38,86,4,1.01,clear sky
82,Batsfjord,NO,70.6345,29.7185,60.73,94,75,12.66,broken clouds
83,Belaya Gora,RU,68.5333,146.4167,56.21,70,6,2.73,clear sky
84,Cardston,CA,49.2,-113.3019,86.22,22,100,11.39,overcast clouds
85,Te Anau,NZ,-45.4167,167.7167,33.13,94,76,3.6,broken clouds
86,Namibe,AO,-15.1961,12.1522,62.69,89,12,8.88,few clouds
87,Qui Nhon,VN,13.7667,109.2333,79.16,77,100,5.19,heavy intensity rain
